iter	RMSE
144	2.996873319
145	2.992291619
146	2.987883644
147	2.98406785
148	2.972986731
149	2.965888958
150	2.962418039
151	2.957533507
152	2.9523935
153	2.943227951
154	2.938350371
155	2.932983194
156	2.927331482
157	2.921871087
158	2.918113386
159	2.913815581
160	2.908719606
161	2.900179054
162	2.893880645
163	2.88955182
164	2.884059771
165	2.878529932
166	2.872651578
167	2.867388727
168	2.860269229
169	2.85510793
170	2.85090622
171	2.847352049
172	2.843606068
173	2.838300586
174	2.831761941
175	2.826879118
176	2.822201435
177	2.815595546
178	2.810280041
179	2.804400769
180	2.798714003
181	2.794763296
182	2.789898376
183	2.786826917
184	2.781406415
185	2.774792852
186	2.771227981
187	2.766817518
188	2.763820921
189	2.759887405
190	2.755127355
191	2.747098088
192	2.742021587
193	2.738036733
194	2.730011221
195	2.722536815
196	2.715776662
197	2.70945558
198	2.705735666
199	2.702517785
200	2.697818302
201	2.694575241
202	2.686318998
203	2.682457913
204	2.678618699
205	2.67632647
206	2.671080987
207	2.664568083
208	2.662994124
209	2.658238085
210	2.652569854
211	2.649502491
212	2.642863781
213	2.638687222
214	2.632240232
215	2.627793504
216	2.623595023
217	2.619708594
218	2.615524685
219	2.610209431
220	2.60288559
221	2.598752172
222	2.592458878
223	2.586473429
224	2.582465387
225	2.576934703
226	2.570737347
227	2.565712507
228	2.561004448
229	2.555425817
230	2.551663642
231	2.545631415
232	2.541668786
233	2.535489199
234	2.533200394
235	2.529278814
236	2.523482806
237	2.519371274
238	2.517090275
239	2.511429686
240	2.508063115
241	2.502465784
242	2.498652696
243	2.493265003
244	2.488758641
245	2.484597218
246	2.480920953
247	2.478527893
248	2.471415071
249	2.46765788
250	2.462835279
251	2.457698108
252	2.450141226
253	2.444774125
254	2.43944078
255	2.434781809
256	2.429826769
257	2.424145804
258	2.419736916
259	2.41516389
260	2.409360749
261	2.404478551
262	2.399186063
263	2.39521676
264	2.388281376
265	2.382945201
266	2.378556836
267	2.373511063
268	2.369750906
269	2.362349779
270	2.357738334
271	2.355175979
272	2.351303214
273	2.347318231
274	2.344853394
275	2.341281301
276	2.336840928
277	2.332429252
278	2.328950996
279	2.323549419
280	2.31995052
281	2.315806501
282	2.311599643
283	2.307789754
284	2.30287399
285	2.299311709
286	2.294091014
287	2.289992489
288	2.287983468
289	2.284818687
290	2.282864935
291	2.279034945
292	2.272234345
293	2.269161688
294	2.264830715
295	2.259595174
296	2.255367153
297	2.250237296
298	2.245380206
299	2.240405923
300	2.236943664
301	2.233335347
302	2.229733808
303	2.226344303
304	2.221146569
305	2.220105062
306	2.216755694
307	2.213493179
308	2.211112472
309	2.20857627
310	2.203166337
311	2.197511688
312	2.193765563
313	2.190085369
314	2.185325318
315	2.182799549
316	2.178060243
317	2.175582316
318	2.172783636
319	2.168809778
320	2.164677297
321	2.161071847
322	2.157332255
323	2.152725378
324	2.149556555
325	2.147305939
326	2.143061193
327	2.13928542
328	2.135920183
329	2.133044059
330	2.129799832
331	2.124579755
332	2.121840603
333	2.118606664
334	2.115331765
335	2.112881883
336	2.109562926
337	2.106320454
338	2.103391188
339	2.099770127
340	2.096133588
341	2.09203206
342	2.088541722
343	2.085020582
344	2.081232629
345	2.078075002
346	2.074474942
347	2.070700506
348	2.067845556
349	2.063437782
350	2.059442673
351	2.056958376
352	2.052559716
353	2.048265006
354	2.043377481
355	2.041146875
356	2.040557439
357	2.037684074
358	2.036310575
359	2.031702498
360	2.029110059
361	2.025111937
362	2.022538401
363	2.018630124
364	2.015998705
365	2.01151966
366	2.007924025
367	2.004389858
368	2.001182759
369	1.998585198
370	1.994550327
371	1.991326331
372	1.987456458
373	1.98492779
374	1.981678532
375	1.979833932
376	1.975581531
377	1.972957274
378	1.970333574
379	1.967829064
380	1.964532298
381	1.960574127
382	1.956701826
383	1.954301917
384	1.950175555
385	1.947812367
386	1.945031625
387	1.942149423
388	1.937377911
389	1.933878387
390	1.931616584
391	1.927170424
392	1.922258582
393	1.917543042
394	1.91426703
395	1.912728944
396	1.90881277
397	1.906157977
398	1.902296283
399	1.898635116
400	1.895910856
401	1.891857287
402	1.889447737
403	1.886844208
404	1.882428139
405	1.879089167
406	1.874884718
407	1.871702366
408	1.868923602
409	1.867804565
410	1.863681377
411	1.861922051
412	1.858568152
413	1.856151243
414	1.853503147
415	1.850831336
416	1.84795835
417	1.846482989
418	1.843350558
419	1.841316453
420	1.838423188
421	1.836006981
422	1.832571943
423	1.829775975
424	1.827009789
425	1.824229171
426	1.821612509
427	1.819504749
428	1.817244452
429	1.814016036
430	1.810444249
431	1.807723187
432	1.804491476
433	1.80165193
434	1.799169036
435	1.796680934
436	1.793247488
437	1.791041643
438	1.786856551
439	1.783997719
440	1.78079921
441	1.778162259
442	1.773854501
443	1.771614605
444	1.768654787
445	1.765347968
446	1.762113792
447	1.759674131
448	1.756167848
449	1.753887403
450	1.752025413
451	1.748590122
452	1.745858753
453	1.743785963
454	1.740939867
455	1.739028801
456	1.73691478
457	1.735101266
458	1.731974408
459	1.727807798
460	1.726052106
461	1.722954776
462	1.720679279
463	1.716656195
464	1.713625386
465	1.710575587
466	1.708219783
467	1.705281785
468	1.702800747
469	1.7001452
470	1.69748718
471	1.695483051
472	1.691876427
473	1.689316746
474	1.685834346
475	1.683833367
476	1.681503031
477	1.678738966
478	1.676556795
479	1.674276027
480	1.671068437
481	1.66780285
482	1.664968577
483	1.662793488
484	1.659939604
485	1.657391476
486	1.654913512
487	1.650898528
488	1.64898178
489	1.64710423
490	1.644921128
491	1.643345204
492	1.640693088
493	1.639994008
494	1.637315912
495	1.634895278
496	1.632413425
497	1.629971592
498	1.628331621
499	1.625964128
500	1.622094781
501	1.619978065
502	1.6175268
503	1.61342814
504	1.610697102
505	1.606769239
506	1.605922874
507	1.604281859
508	1.600611243
509	1.597025439
510	1.595471974
511	1.592004303
512	1.589744439
513	1.58764001
514	1.586515959
515	1.584184785
516	1.580993278
517	1.577251479
518	1.574833256
519	1.572396091
520	1.569952395
521	1.567689679
522	1.565708465
523	1.560950223
524	1.559119101
525	1.556835731
526	1.554736985
527	1.552158342
528	1.550168029
529	1.548055535
530	1.545914033
531	1.543660046
532	1.541971161
533	1.539763239
534	1.537358342
535	1.535279309
536	1.532910516
537	1.530790568
538	1.528464003
539	1.526194374
540	1.524531106
541	1.52174176
542	1.5200334
543	1.517097571
544	1.514620185
545	1.512492147
546	1.510815184
547	1.507638472
548	1.505102777
549	1.50285524
550	1.501026172
551	1.497329658
552	1.495994775
553	1.494539289
554	1.493731804
555	1.492565568
556	1.490674682
557	1.488666383
558	1.485313752
559	1.482373378
560	1.479917238
561	1.478520113
562	1.475230624
563	1.473564025
564	1.471288711
565	1.468896653
566	1.467566137
567	1.465485109
568	1.462677513
569	1.460862482
570	1.458903692
571	1.457328535
572	1.454430631
573	1.451697388
574	1.449633287
575	1.448486935
576	1.447055349
577	1.445612858
578	1.443603765
579	1.441546459
580	1.438211952
581	1.435908623
582	1.434651321
583	1.433434741
584	1.431385468
585	1.429116146
586	1.427483516
587	1.424538427
588	1.422138204
589	1.420470941
590	1.419349932
591	1.417383321
592	1.415904464
593	1.414338471
594	1.412744908
595	1.411538391
596	1.40877337
597	1.406038218
598	1.403945124
599	1.402014799
600	1.400380422
601	1.398177453
602	1.396996089
603	1.395081356
604	1.393866784
605	1.390799931
606	1.388319511
607	1.38564928
608	1.384091156
609	1.383115153
610	1.380371136
611	1.378961996
612	1.377566753
613	1.374484042
614	1.372590227
615	1.370572102
616	1.367595519
617	1.365884188
618	1.363062742
619	1.360876647
620	1.358753372
621	1.357787908
622	1.356559308
623	1.355635705
624	1.352865638
625	1.351137698
626	1.349509163
627	1.347032241
628	1.345309922
629	1.343529627
630	1.340433162
631	1.337942799
632	1.336697384
633	1.334159448
634	1.332880698
635	1.329856906
636	1.327971608
637	1.326462297
638	1.325434055
639	1.324535321
640	1.323829209
641	1.321992343
642	1.320531336
643	1.31890354
644	1.31733602
645	1.314889992
646	1.313818038
647	1.311760451
648	1.310549474
649	1.309304502
650	1.307975969
651	1.306951446
652	1.305531199
653	1.303159567
654	1.301798332
655	1.299292938
656	1.297063532
657	1.295834695
658	1.294247523
659	1.293447272
660	1.291882288
661	1.289477668
662	1.287389715
663	1.284791519
664	1.282670384
665	1.28183114
666	1.279967541
667	1.279239354
668	1.277838797
669	1.276766145
670	1.274887562
671	1.273607385
672	1.271087931
673	1.269395156
674	1.268154485
675	1.265947414
676	1.264186489
677	1.263110997
678	1.261597951
679	1.260793749
680	1.258687236
681	1.256979821
682	1.25541941
683	1.253234562
684	1.250788064
685	1.249464376
686	1.248879415
687	1.246930764
688	1.245756418
689	1.243812533
690	1.242275125
691	1.240356189
692	1.23836154
693	1.236984001
694	1.235272338
695	1.233238047
696	1.230672601
697	1.228447118
698	1.226952715
699	1.22449242
700	1.222915986
701	1.220833302
702	1.219252255
703	1.217902553
704	1.216652528
705	1.214981331
706	1.2136622
707	1.211818039
708	1.210586485
709	1.208974041
710	1.207525326
711	1.20507385
712	1.202183069
713	1.200008072
714	1.198692143
715	1.197230489
716	1.196816454
717	1.196103358
718	1.193644286
719	1.192514685
720	1.191692847
721	1.190332772
722	1.189253752
723	1.188075104
724	1.186692613
725	1.185517521
726	1.183855
727	1.182112673
728	1.179777199
729	1.177955805
730	1.175781075
731	1.174252575
732	1.172518745
733	1.170936384
734	1.169398727
735	1.168486777
736	1.16675253
737	1.165687973
738	1.164299458
739	1.162468371
740	1.160917803
741	1.158750567
742	1.157578435
743	1.155813547
744	1.155082573
745	1.153438946
746	1.152345525
747	1.150417209
748	1.148352516
749	1.147060531
750	1.145268219
751	1.144383574
752	1.142780358
753	1.142106337
754	1.140805865
755	1.139299114
756	1.137500964
757	1.135013351
758	1.133940971
759	1.1325544
760	1.130892864
761	1.12878868
762	1.127775968
763	1.126523844
764	1.124265159
765	1.121727178
766	1.120127722
767	1.119016258
768	1.118008628
769	1.117186902
770	1.11537388
771	1.114391247
772	1.113164026
773	1.111854401
774	1.110320955
775	1.108164766
776	1.107125903
777	1.105812187
778	1.104120908
779	1.102310134
780	1.101172602
781	1.099213716
782	1.097132503
783	1.094817302
784	1.093915781
785	1.092920184
786	1.090967978
787	1.089614056
788	1.088120079
789	1.086951474
790	1.085123433
791	1.082814248
792	1.081540489
793	1.079419404
794	1.078708805
795	1.077868398
796	1.07646073
797	1.074901285
798	1.073925405
799	1.073065762
800	1.072508173
801	1.071345814
802	1.070411768
803	1.069251177
804	1.068244058
805	1.067951154
806	1.066446343
807	1.064635213
808	1.063267334
809	1.062330276
810	1.060540108
811	1.060043947
812	1.058265852
813	1.057332609
814	1.05620907
815	1.054738544
816	1.053237398
817	1.05093142
818	1.049560578
819	1.047761394
820	1.046498194
821	1.044991448
822	1.043679504
823	1.042244699
824	1.040652533
825	1.039111242
826	1.037592714
827	1.03551088
828	1.034236689
829	1.033287771
830	1.03292538
831	1.031275701
832	1.030195126
833	1.028676659
834	1.027106507
835	1.026292083
836	1.026153307
837	1.024734435
838	1.023904289
839	1.022704344
840	1.022110444
841	1.020628822
842	1.019087237
843	1.017453071
844	1.016525207
845	1.015531679
846	1.014255666
847	1.013404531
848	1.011921039
849	1.010600441
850	1.008897542
851	1.007323563
852	1.005460695
853	1.004413019
854	1.002700036
855	1.001029725
856	1.000273229
857	0.9997575449
858	0.9984577003
859	0.9971915991
860	0.9958667168
861	0.9943409133
862	0.9924819315
863	0.9915929607
864	0.9901167685
865	0.9886666011
866	0.9873195473
867	0.9859233936
868	0.9845892143
869	0.9829867375
870	0.9818036064
871	0.9809828947
872	0.9793988574
873	0.9781760321
874	0.9774675355
875	0.976537592
876	0.9746809839
877	0.9736645686
878	0.9720680672
879	0.9707496528
880	0.9687810807
881	0.9680616933
882	0.9666704756
883	0.9655824171
884	0.9642398219
885	0.962866
886	0.9612217835
887	0.9599383313
888	0.9590705428
889	0.9581451203
890	0.9566926365
891	0.9554868776
892	0.9549399603
893	0.9535854472
894	0.9521618855
895	0.951025775
896	0.9497077801
897	0.9484742789
898	0.9470814524
899	0.9455692077
900	0.9444374984
901	0.9431904646
902	0.9419263666
903	0.9400466762
904	0.9391003052
905	0.9378423192
906	0.9372608598
907	0.9360594963
908	0.9349536902
909	0.9337088942
910	0.932562469
911	0.9316973247
912	0.9306599138
913	0.9298301179
914	0.9283942262
915	0.926936836
916	0.9258714191
917	0.924628845
918	0.9233033033
919	0.9227412954
920	0.9217999031
921	0.9201750478
922	0.9189301501
923	0.9171098571
924	0.9169790568
925	0.9153772752
926	0.9144062227
927	0.9130033903
928	0.9119099446
929	0.9106910574
930	0.9094421
931	0.9087667296
932	0.9072246002
933	0.9055452997
934	0.9046169731
935	0.9041534196
936	0.9022906004
937	0.9010686205
938	0.9007644433
939	0.8993428953
940	0.8977099105
941	0.8965809628
942	0.8953891032
943	0.8941167065
944	0.8932655304
945	0.8922841815
946	0.8913318433
947	0.8904636725
948	0.8895279182
949	0.8884465312
950	0.8879230773
951	0.8866174689
952	0.8851684128
953	0.8839144298
954	0.8828635896
955	0.8820076573
956	0.8812800046
957	0.8802859676
958	0.8785314703
959	0.8774797574
960	0.8764768495
961	0.875069844
962	0.8741987269
963	0.8731118392
964	0.8716687471
965	0.8703899858
966	0.8689048111
967	0.8678073934
968	0.8666140784
969	0.8654551838
970	0.864535587
971	0.863125519
972	0.8618699076
973	0.860994588
974	0.859330306
975	0.857886807
976	0.8571903069
977	0.8559656278
978	0.8548899808
979	0.853858964
980	0.8527804371
981	0.8511199796
982	0.8497703939
983	0.8493192248
984	0.8486104459
985	0.8478212249
986	0.8464507747
987	0.8448495503
988	0.8437823246
989	0.8429760988
990	0.842057674
991	0.8408826104
992	0.8403300842
993	0.839167869
994	0.8378951862
995	0.836842781
996	0.8363553964
997	0.8360522671
998	0.8355907902
999	0.8351021913
